rate_policy,architecture,metric,contrast,mean,ci_low,ci_high,n,positive
selected,additive,test_cross_entropy,subtree_k3_minus_projected_k1,-0.0017926067113876343,-0.0037022274173796176,3.711104393005564e-05,10,4
selected,additive,test_cross_entropy,exact_path_minus_subtree_k3,6.54757022857666e-06,-0.0020577780343592166,0.0021011576056480406,10,4
selected,additive,test_cross_entropy,neuron_shared_minus_decoder_only,-0.2502401553094387,-0.25692847818136216,-0.24361230965703726,10,0
selected,additive,test_cross_entropy,exact_path_minus_neuron_shared,-0.007769343256950378,-0.009688942953944206,-0.0060128094069659705,10,0
selected,additive,test_cross_entropy,subtree_k3_minus_neuron_shared,-0.007775890827178955,-0.010666360110044478,-0.004777397215366364,10,1
common_original,shunting,test_accuracy,neuron_shared_minus_strict_scalar,0.11286999583244324,0.10499998912215233,0.11962999701499939,10,10
common_original,shunting,test_accuracy,projected_k1_minus_neuron_shared,0.0005400002002716065,-4.000663757324219e-05,0.0012800037860870362,10,6
common_original,shunting,test_accuracy,subtree_k3_minus_projected_k1,6.0003995895385745e-05,-0.0003500103950500488,0.0004600226879119873,10,5
common_original,shunting,test_accuracy,exact_path_minus_subtree_k3,-0.0004999995231628418,-0.0011299967765808106,0.00015001296997070314,10,4
common_original,shunting,test_accuracy,neuron_shared_minus_decoder_only,0.2119700014591217,0.20733999609947204,0.2162599864602089,10,10
common_original,shunting,test_accuracy,exact_path_minus_neuron_shared,0.00010000467300415039,-0.000619971752166748,0.0007499933242797851,10,5
common_original,shunting,test_accuracy,subtree_k3_minus_neuron_shared,0.0006000041961669922,-9.98377799987793e-06,0.0013400018215179443,10,5
common_original,shunting,test_cross_entropy,neuron_shared_minus_strict_scalar,-0.4055646561086178,-0.4329350098967552,-0.3774943947792053,10,0
common_original,shunting,test_cross_entropy,projected_k1_minus_neuron_shared,-0.0025453545153141023,-0.0037201540544629097,-0.0013919156230986116,10,1
common_original,shunting,test_cross_entropy,subtree_k3_minus_projected_k1,0.0009587287902832031,-0.0003481708467006683,0.0023535972274839885,10,6
common_original,shunting,test_cross_entropy,exact_path_minus_subtree_k3,5.6267529726028445e-05,-0.0017832251638174054,0.0018014640733599666,10,6
common_original,shunting,test_cross_entropy,neuron_shared_minus_decoder_only,-1.311285050958395,-1.3257513757236303,-1.2980445995926857,10,0
common_original,shunting,test_cross_entropy,exact_path_minus_neuron_shared,-0.0015303581953048707,-0.0034399308264255525,3.666473552584685e-05,10,4
common_original,shunting,test_cross_entropy,subtree_k3_minus_neuron_shared,-0.001586625725030899,-0.003247266262769699,0.00019384363666176806,10,3
common_original,additive,test_accuracy,neuron_shared_minus_strict_scalar,0.07840999960899353,0.0722499905526638,0.085949999243021,10,10
common_original,additive,test_accuracy,projected_k1_minus_neuron_shared,0.001389998197555542,0.0003899991512298584,0.002389991283416748,10,7
common_original,additive,test_accuracy,subtree_k3_minus_projected_k1,-0.00012999773025512695,-0.000689995437860489,0.00047002434730529784,10,3
common_original,additive,test_accuracy,exact_path_minus_subtree_k3,0.0006500005722045899,0.0002300022542476654,0.001130002737045288,10,7
common_original,additive,test_accuracy,neuron_shared_minus_decoder_only,0.07536999583244323,0.07314000725746155,0.07776998281478882,10,10
common_original,additive,test_accuracy,exact_path_minus_neuron_shared,0.0019100010395050049,0.000940006971359253,0.002879995107650757,10,8
common_original,additive,test_accuracy,subtree_k3_minus_neuron_shared,0.001260000467300415,0.0005699992179870605,0.0019200026988983154,10,8
common_original,additive,test_cross_entropy,neuron_shared_minus_strict_scalar,-0.29009297788143157,-0.31148669075220825,-0.2708729787170887,10,0
common_original,additive,test_cross_entropy,projected_k1_minus_neuron_shared,-0.004214214533567429,-0.006812466681003571,-0.0016245676577091215,10,3
common_original,additive,test_cross_entropy,subtree_k3_minus_projected_k1,0.00041526705026626585,-0.0017621212266385553,0.0023713682219386103,10,6
common_original,additive,test_cross_entropy,exact_path_minus_subtree_k3,-0.0011538907885551453,-0.002472324650734663,0.0002747528254985809,10,2
common_original,additive,test_cross_entropy,neuron_shared_minus_decoder_only,-0.2530566602945328,-0.2587781950831413,-0.24723518792539836,10,0
common_original,additive,test_cross_entropy,exact_path_minus_neuron_shared,-0.004952838271856308,-0.007051027156412601,-0.0030938073992729186,10,0
common_original,additive,test_cross_entropy,subtree_k3_minus_neuron_shared,-0.0037989474833011625,-0.006010294705629349,-0.0017771348357200623,10,2
